player_name,season,expected_goals,actual_goals,expected_assists,actual_assists
Adam Johnson,2014-2015,3.2225706931203604,4,3.918955043889582,1
Jordi Gómez,2014-2015,3.721912106499076,4,1.7920808214694262,2
Brown Ideye,2014-2015,3.9699375443160534,4,1.232260012999177,2
Edin Dzeko,2014-2015,3.974505268037319,4,1.3088590241968632,2
Abel Hernández,2014-2015,5.410243159160018,4,0.8517510555684566,1
Didier Drogba,2014-2015,2.728672436438501,4,1.5343713704496622,1
Mohamed Diamé,2014-2015,1.2090785708278418,4,0.17440581135451794,0
Eduardo Vargas,2014-2015,3.477744033560157,3,1.8190636951476336,2
André Schürrle,2014-2015,3.249142687767744,3,0.5976690649986267,0
Laurent Koscielny,2014-2015,1.274743553251028,3,0.116488516330719,0
Victor Moses,2014-2015,4.516806559637189,3,2.320560065098107,3
Seamus Coleman,2014-2015,2.010042060166598,3,2.727002407424152,2
Tom Cleverley,2014-2015,1.7877938449382782,3,1.3489697314798832,0
Fernandinho,2014-2015,2.4068920481950045,3,2.6950506502762437,3
Danny Rose,2014-2015,1.6703250305727124,3,2.9121242901310325,4
Cesc Fàbregas,2014-2015,3.2493747798725963,3,10.149339951574802,18
Jack Cork,2014-2015,3.13075337279588,3,0.7083077467978001,0
Wayne Routledge,2014-2015,3.858188288286328,3,2.31121738627553,1
Jack Rodwell,2014-2015,2.482021426782012,3,0.27516839653253555,0
Sebastian Larsson,2014-2015,2.721916640177369,3,3.486307787708938,3
Jeffrey Schlupp,2014-2015,2.299106224440038,3,1.5454933568835258,2
Jonjo Shelvey,2014-2015,4.547879750840366,3,2.943916641175747,5
Nathan Dyer,2014-2015,2.0165312504395843,3,2.235175338573754,2
Craig Gardner,2014-2015,3.3401153879240155,3,3.343790824059397,4
Victor Anichebe,2014-2015,1.8499112874269483,3,1.331589601933956,1
Victor Wanyama,2014-2015,1.723528876900673,3,0.9338348228484392,1
Matt Phillips,2014-2015,3.0864787427708507,3,3.0363355800509453,8
Steven N&#039;Zonzi,2014-2015,2.544648644514382,3,1.787154513411224,1
Morgan Amalfitano,2014-2015,2.6237589800730348,3,0.9993906710296868,1
